Food_Code,Food_Description_EN,Food_Description_FR,Alternate_Description_EN,Alternate_Description_FR,Food_Source_Code,USDA_NDB_Code,CNF_Food_Group_Code,Comment_EN,Comment_FR,ScientificName,Food_Last_Updated_Date
5491,"Candies, bars, Milky Way, Dark Bar","Bonbons, tablettes, Milky Way, tablette foncée","chocolate bar, candy","barre de chocolat, tablette de chocolat",12,42196,19,,,,2026-01-28
5492,"Indian, papad (papadum)","Indien, papad (papadum)",,,12,42200,16,,,,2014-06-02
5493,"Snacks, rice cakes, crackers (include mini rice cakes)","Grignotises, galettes de riz, craquelins (mini crousties inclues)",,"grignotine, grignotines, grignoterie, grignoteries, snack, snacks",12,42204,25,,,,2026-01-28
5495,"Candies, M&M's Almond Chocolate Candies","Bonbons, M&M's bonbons avec amandes et chocolat",candy,bonbon,12,42227,19,,,,2026-01-28
5496,"Salad dressing, coleslaw dressing, reduced fat","Vinaigrette, salade de chou, teneur réduite en gras","lower fat, lower in fat, less fat, reduced fat, reduced in fat, fat reduced","faible teneur en lipides, pauvre en lipides, peu de lipides, faible teneur en matières grasses, pauvre en matières grasses, peu de matières grasses, faible teneur en gras, pauvre en gras, peu de gras, faible teneur en graisses, pauvre en graisses,  peu de graisses ",12,42230,4,,,,2026-01-28
5497,"Vegetable oil, flaxseed (linseed), cold pressed","Huile végétale, graines de lin, pressées à froid",,,0,42231,4,,,,2016-01-22
5498,"Cheese, cottage, 1% M.F., lactose reduced","Fromage cottage, 1% M.G., réduit en lactose",,,12,42235,1,,,,2012-07-24
5499,"Sausage, smoked, pork, pre-cooked, reduced fat","Saucisse, fumée, porc, pré-cuite, teneur réduite en gras","lower fat, lower in fat, less fat, reduced fat, reduced in fat, fat reduced","faible teneur en lipides, pauvre en lipides, peu de lipides, faible teneur en matières grasses, pauvre en matières grasses, peu de matières grasses, faible teneur en gras, pauvre en gras, peu de gras, faible teneur en graisses, pauvre en graisses,  peu de graisses ",37,07900,7,,,,2026-01-28
5501,"Snacks, popcorn, oil-popped, unsalted","Grignotises, maïs soufflé à l'huile, sans sel","unsalted, ""without added salt"", ""no salt added"", ""no added salt"", ""without added sodium"", ""no sodium added"" or ""no added sodium""","grignotine, grignotines, grignoterie, grignoteries, snack, snacks, popcorn, « non additionné de sel », « sans sel ajouté », « aucune addition de sel », « non salé », « aucun sel ajouté », « non additionné de sodium », « sans sodium ajouté », « aucune addition de sodium » ou « aucun sodium ajouté »",12,42259,25,,,,2026-01-28
5507,"Snacks, potato chips, made from dried potatoes (preformed), baked","Grignotises, croustilles, pommes de terre, faites à partir de pommes de terre séchées (préformées), au four",Pringles,"patate, patates, croustilles de pomme de terre, chips, grignotine, grignotines, grignoterie, grignoteries, snack, snacks, Pringles",12,42283,25,,,,2026-01-28
5508,"Vegetable oil, corn and canola","Huile végétale, maïs et canola (colza)",,,12,42289,4,,,,2012-06-27
5509,"Peanut butter, reduced sodium","Beurre d'arachides, réduit en sodium",,"Beurre de pinote, beurre de peanut",12,42291,16,,,,2026-01-28
5510,"Vegetable oil, canola and soybean","Huile végétale, canola (colza) et soya",,,11,,4,,,,2012-10-01
5511,"Cheese, muenster, low fat","Fromage muenster, faible en gras","low fat, low in fat, little fat, low source of fat","faible teneur en lipides, pauvre en lipides, peu de lipides, faible teneur en matières grasses, pauvre en matières grasses, peu de matières grasses, faible teneur en gras, pauvre en gras, peu de gras, faible teneur en graisses, pauvre en graisses,  peu de graisses ",12,42303,1,,,,2026-01-28
5512,"Cheese, mozzarella, fat free","Fromage mozzarella, sans gras","fat free, free of fat, no fat, 0 fat, zero fat, without fat, contains no fat, non fat","sans lipides, 0 lipides, zéro lipides, aucuns lipides , ne contient pas de lipides, sans matières grasses, 0 matières grasses, zéro matières grasses, aucunes matières grasses, ne contient pas de matières grasses, sans gras, 0 gras, zéro gras, aucun gras, ne contient pas de gras, sans graisses, 0 graisses, zéro graisses, aucunes graisses, ne contient pas de graisses ",12,42304,1,,,,2026-01-28
5515,"Salad dressing, Caesar dressing, regular","Vinaigrette, César, régulière",,,12,43015,4,,,,2026-01-28
5516,"Salad dressing, coleslaw","Vinaigrette, salade de chou",,,12,43016,4,,,,2026-01-28
5517,"Salad dressing, green goddess, regular","Vinaigrette, green goddess, régulière",,,12,43017,4,,,,2012-06-27
5518,"Salad dressing, buttermilk as main ingredient","Vinaigrette, à base de babeurre",,,12,43018,4,,,,2026-01-28
5520,"Salad dressing, blue or roquefort cheese, low calorie","Vinaigrette, fromage bleu ou roquefort, hypocalorique","low in calories, low energy, little energy, low source of calories, low source of energy","faible en calorie, peu calorique, peu d'énergie, peu de calories, faible valeur énergétique, pauvre en énergie, pauvre en calories",12,43020,4,,,,2026-01-28
5521,"Salad dressing, Caesar, low calorie","Vinaigrette, César, hypocalorique","low in calories, low energy, little energy, low source of calories, low source of energy","faible en calorie, peu calorique, peu d'énergie, peu de calories, faible valeur énergétique, pauvre en énergie, pauvre en calories",12,43021,4,,,,2026-01-28
5522,"Sweets, syrup, dietetic","Confiseries, sirop, diététique","artificially sweetened, artificial sweetener, sweetener","éducorant artificiel, substitut de sucre, substitut du sucre, édulcorant, avec édulcorant articifiel",0,43026,19,,,,2026-01-28
5523,"Sweets, jams and preserves, dietetic (with saccharin), any flavour","Confiseries, confitures et conserves, diététique (avec saccharine), toutes saveurs","sweetened with saccharin, saccharin sweetened, artificially sweetened","édulcoré à la saccharine, édulcorant, éducorant artificiel, avec édulcorant articifiel",12,43028,19,,,,2026-01-28
5524,"Candies, caramel with nuts, chocolate covered","Bonbons, caramel avec noix, enrobé de chocolat","butterscotch, turtle, candy","turtle, butterscotch",12,43031,19,,,,2026-01-28
5525,"Candies, nougat, with almonds","Bonbons, nougat, avec amandes",candy,bonbon,12,43046,19,,,,2026-01-28
5526,"Candies, gum drops, lower in Calories (sorbitol)","Bonbons, jujubes, moins de Calories (sorbitol)",candy,bonbon,12,43057,19,,,,2026-01-28
5527,"Candies, hard, sorbitol sweetened","Bonbons, durs (sucre d'orge), sucré au sorbitol","sweetened with sorbitol, artificially sweetened","édulcoré au sorbitol, édulcorant, éducorant artificiel, avec édulcorant articifiel",0,43058,19,,,,2026-01-28
5529,"Candies, chewing gum, sugarless","Bonbons, gomme à mâcher, sans sucre","sugar free, 0 sugar, zero sugar, contains no sugar, no sugar, free of sugar, without sugar, unsweetened, sugarless, artificial sweetener, artificially sweetened, candy","sans sucre, 0 sucre, zéro sucre, aucun sucre, ne contient pas de sucre, édulcorant artificiel, gum, gomme à mâcher",12,43060,19,,,,2026-01-28
